Month,Price (EUR/MWh)
2020-11,38.79651388888883
2021-09,128.33577777777774
2019-06,32.50445833333336
2022-07,315.26248655914
2023-11,91.17997222222216
2021-12,220.95662634408592
2022-03,251.75978494623652
2022-12,251.21689516128984
2024-04,62.39272222222222
2018-10,53.082123655913946
2023-09,100.72626388888881
2020-06,26.229166666666657
2021-11,176.24584722222218
2019-07,39.713064516129
2024-03,64.66461021505377
2022-10,152.7453494623656
2019-11,41.004833333333316
2022-11,173.92800000000005
2021-06,74.13072222222223
2024-10,86.29299731182805
2020-02,21.8761119081779
2024-11,113.95688888888894
2024-09,78.06488888888894
2018-12,48.11060483870967
2021-10,139.54338709677415
2022-02,128.70811292719162
2022-04,166.00181944444435
2022-08,465.5141666666661
2019-08,36.81869623655914
2019-03,30.61485215053766
2024-05,67.28461021505373
2020-07,30.07494623655917
2023-10,87.31630376344097
2023-05,81.64637096774187
2025-02,135.21794715447143
2021-01,52.79319892473118
2018-11,56.680833333333275
2024-07,67.71000000000004
2019-09,35.76566666666673
2021-02,48.69309063893018
2020-03,22.519314516129025
2023-03,102.40114247311824
2021-04,53.65715277777779
2023-06,94.83972222222219
2023-07,77.48279569892468
2023-01,117.94370967741933
2019-02,42.805289747399755
2024-06,72.8902222222222
2020-10,33.9559005376344
2023-02,128.39112927191664
2022-09,344.9385555555556
2023-08,94.4132795698924
2020-04,17.049194444444453
2023-12,68.37576612903219
2021-03,47.18168010752691
2025-01,114.32130376344082
2018-09,57.815
2019-04,36.97281944444445
2019-10,36.947540322580615
2020-12,43.54505376344083
2020-08,34.88970430107526
2021-05,53.33150537634402
2019-12,31.970618279569877
2024-01,76.63426075268826
2020-01,34.9787096774193
2020-05,17.60487903225807
2019-05,37.832083333333316
2024-12,108.18454301075259
2024-08,82.03493279569888
2020-09,43.6780972222222
2021-07,81.29489247311832
2021-08,82.81185483870962
2019-01,49.41384408602147
2024-02,61.308091822094696
2022-05,177.50618279569906
2022-06,218.1820138888888
2023-04,100.8324861111112
2022-01,167.87455645161288
