Month,Price (EUR/MWh)
2020-12,48.42262096774186
2019-10,38.616572580645176
2018-04,33.53988888888885
2019-04,38.0982638888889
2017-01,77.99555107526886
2024-04,28.229958333333332
2024-12,98.05939516129028
2017-09,37.00018055555556
2023-06,91.2805972222222
2018-08,58.4499731182796
2022-01,211.5832795698924
2023-09,88.7081944444444
2018-09,61.953250000000004
2016-05,24.277903225806433
2017-06,32.7362083333333
2020-07,33.41922043010755
2024-08,54.56229838709676
2023-03,111.80903225806439
2020-10,37.87383064516131
2022-02,185.60231797919755
2017-10,49.6809946236559
2023-11,89.01815277777776
2015-05,26.45877688172042
2015-12,35.12649193548384
2024-01,76.6631586021505
2018-02,48.7795245170877
2016-10,55.16560483870964
2024-09,51.61158333333336
2023-12,68.33071236559144
2022-04,232.91949999999994
2018-10,65.641129032258
2017-03,35.40399193548387
2016-07,30.09895161290324
2019-12,36.46623655913972
2018-05,34.496008064516175
2019-03,33.84774193548385
2020-04,13.406125000000015
2022-11,192.15583333333342
2025-02,133.35776422764235
2024-10,62.250954301075275
2021-12,274.50948924731165
2015-10,44.955456989247224
2016-04,25.478875000000006
2019-02,46.5949777117385
2023-01,132.28186827956984
2020-01,37.96986559139781
2021-06,73.56091666666663
2019-11,45.94568055555555
2020-09,47.19037499999999
2019-05,37.20190860215055
2023-10,84.19553763440858
2015-07,37.914422043010745
2024-07,47.085766129032244
2022-05,197.46004032258054
2016-09,37.20208333333334
2019-08,33.36293010752693
2021-10,172.5374596774192
2021-04,63.14798611111114
2017-05,34.26201612903227
2021-01,59.466975806451565
2020-11,40.14140277777774
2022-08,492.99201612903266
2023-08,90.9635349462365
2022-12,270.49413978494636
2025-01,102.44247311827961
2023-02,148.74490341753344
2024-05,27.089368279569893
2022-07,400.9499059139784
2015-03,43.79494623655909
2017-11,63.45723611111113
2018-12,54.886370967741954
2020-08,36.7634946236559
2020-05,14.874408602150542
2023-05,77.47758064516117
2016-06,28.022902777777745
2015-02,50.12316493313519
2019-09,35.55148611111119
2016-11,65.17811111111104
2019-01,61.15012096774197
2023-07,77.61654569892472
2021-09,135.30443055555557
2015-01,41.57685670261936
2015-06,32.15573611111112
2024-06,37.783694444444436
2017-08,32.02250000000001
2016-02,25.537144906743183
2018-11,67.8050694444444
2021-11,217.241708333333
2024-03,53.53591397849455
2019-07,37.69064516129035
2021-08,77.40415322580641
2015-08,32.19020161290321
2018-07,51.44169354838708
2018-06,42.292500000000054
2018-03,48.18673387096777
2019-06,29.2442638888889
2022-09,393.5467083333335
2017-02,51.12193164933128
2021-03,50.22795698924726
2022-10,178.88595430107557
2018-01,34.9843413978495
2015-04,39.51595833333334
2017-07,34.61081989247307
2020-06,25.848833333333353
2015-09,37.448305555555535
2016-12,59.23759408602161
2017-04,34.73554166666668
2016-01,33.59227150537633
2020-03,23.834301075268815
2024-02,58.34430416068864
2024-11,100.55093055555555
2016-03,27.08720430107526
2021-02,48.999375928677566
2016-08,29.715268817204265
2023-04,106.45168055555568
2020-02,26.24774748923959
2022-03,295.17474462365533
2021-05,55.25981182795695
2022-06,248.73279166666728
2021-07,78.30715053763441
2015-11,41.69866666666662
2017-12,56.68538978494629
